gene,combined_coef,combined_se,pval,i2,n_samples,mean_expr,pct_expr,n_positive_samples,n_negative_samples,sign_consistency,median_dispersion,fdr,median_coef,fisher_stat,fisher_pval,fisher_fdr,perm_pval,gradient_score,decay_pattern,cell_type
B2M,0.00207777592821223,0.00116630152830337,0.0748294396531302,0.972898535918098,5,3.19791864484029,0.791294770025447,4,1,0.8,1.37933502758857,0.159012559262902,0.0018531112696382,,1,1,,0.0018531112696382,not_significant,B-cell
CD74,0.00103195624645358,0.00152468371159093,0.498511919556286,0.979267699124413,5,5.91602415587375,0.890918758783091,3,2,0.6,1.88474339251321,0.605335902318347,0.000101318416970065,,1,1,,0.000101318416970065,not_significant,B-cell
COL9A2,-0.00035559298309077,0.000818762210520072,0.664066564434767,0.729302751240392,5,1.91647992707661,0.683352956815679,2,3,0.6,1.20914421099072,0.70557072471194,-7.01736900256806e-05,,1,1,,-7.01736900256806e-05,not_significant,B-cell
HLA-A,0.00160007451289826,0.000774086070973916,0.0387294549760723,0.956254912498827,5,2.32226822135288,0.751072961373391,4,1,0.8,1.2903041706461,0.140847608925911,0.00199729117721499,,1,1,,0.00199729117721499,not_significant,B-cell
HLA-B,0.00153205207803669,0.000975244328420177,0.11619616874448,0.964433817174914,5,3.66774279311786,0.834706977097497,4,1,0.8,1.48984017173936,0.219481652072906,0.000297425919456703,,1,1,,0.000297425919456703,not_significant,B-cell
HLA-C,0.00250177915166043,0.000977965888562158,0.01052320166228,0.975487935336256,5,2.96179118082722,0.795396710851153,5,0,1,1.44705221491402,0.0596314760862532,0.00312443642920709,154.017562447003,5.55020972006008e-28,3.14511884136738e-27,,0.00312443642920709,linear,B-cell
HLA-DRB1,0.000863647701339673,0.000964488042545254,0.37054830916494,0.91328668946772,5,2.41133351057769,0.727144973223442,3,2,0.6,1.56135943515501,0.524943437983665,0.000357523064837326,,1,1,,0.000357523064837326,not_significant,B-cell
IGHA1,0.000112627799479164,0.000387241165647355,0.771168597941731,0.678443514507713,5,2.78347069770975,0.66083026320787,3,2,0.6,3.34009186367179,0.771168597941731,0.000424086060241684,,1,1,,0.000424086060241684,not_significant,B-cell
IGHG1,-0.000883029180335126,0.000953470007327935,0.354382783597868,0.886250711004393,5,1.7244103460063,0.589691974628736,2,3,0.6,1.60336847016915,0.524943437983665,-0.000481523928801328,,1,1,,-0.000481523928801328,not_significant,B-cell
IGHM,0.00244657495553921,0.00124669855368586,0.0497109207973803,0.948595095332545,5,3.09081241216909,0.627976755668654,5,0,1,4.38326086264849,0.140847608925911,0.00102439787634491,168.3427825942,6.111639152421e-31,5.19489327955785e-30,,0.00102439787634491,step_50um,B-cell
IGKC,0.000898806571059605,0.000598167162088712,0.132941967471063,0.889465990738672,5,2.54138022712598,0.660944206008584,4,1,0.8,3.24977161134664,0.226001344700807,0.0011347508658211,,1,1,,0.0011347508658211,not_significant,B-cell
MALAT1,0.0029427908294688,0.00109247965104311,0.00706679287757837,0.984615799374133,5,11.8803980401838,0.907136617418056,5,0,1,2.06413408701492,0.0596314760862532,0.00230881200356184,230.892274181734,5.58294250237025e-44,9.49100225402942e-43,,0.00230881200356184,linear,B-cell
MZT2A,-0.000317178837459696,0.000427463125004782,0.458085636565299,0.819702506161609,5,16.3064681529872,0.97914846746933,1,4,0.8,2.06623463166164,0.599035063200776,-0.000198149233155942,,1,1,,-0.000198149233155942,not_significant,B-cell
NEAT1,0.00195647388524005,0.000976185046077757,0.0450482220182178,0.924210465200696,5,1.42933647309051,0.580614531505184,4,1,0.8,1.17698822690925,0.140847608925911,0.00121785691535187,,1,1,,0.00121785691535187,not_significant,B-cell
RPL21,0.00124227564723189,0.000687266396199166,0.0706749178027252,0.886474485569875,5,1.97554027878005,0.711458847658475,3,2,0.6,1.1376222747136,0.159012559262902,0.00182801084313959,,1,1,,0.00182801084313959,not_significant,B-cell
RPL22,-0.000295557220126867,0.000109357063650218,0.0068782795647807,0,5,1.03046070872422,0.520984465798169,1,4,0.8,0.968135934026555,0.0596314760862532,-0.000299971447615018,,1,1,,-0.000299971447615018,not_significant,B-cell
RPL37,0.000310878740523264,0.000585178140226898,0.59524217003943,0.577576089195643,5,1.43267879524479,0.622431539367238,4,1,0.8,1.15885346684622,0.674607792711354,8.04476351827846e-05,,1,1,,8.04476351827846e-05,not_significant,B-cell
AATK,0.000344497489341358,0.00130146020145244,0.791240000911407,0.643335600219815,5,0.0422221633226431,0.0371332396830025,3,2,0.6,0.258306675486147,0.915921567365485,0.000496807476890814,,1,1,,0.000496807476890814,not_significant,endothelial
ABL1,-0.000527152496152002,0.000607864801641315,0.385821495415694,0.355840848206391,5,0.0922632457791089,0.0768904556176946,1,4,0.8,0.434102009045097,0.72800841694509,-0.000190240574296162,,1,1,,-0.000190240574296162,not_significant,endothelial
ABL2,-7.1708694716712e-05,0.00041230202609976,0.861926187476069,0,5,0.127620663150362,0.105118078931326,2,3,0.6,0.509445163625083,0.945575690465291,-0.00011402965076615,,1,1,,-0.00011402965076615,not_significant,endothelial
ACE,-0.000477311609144298,0.00118346220322969,0.686714301460454,0.907759253007955,5,0.176707572424395,0.128256778605317,2,3,0.6,0.611299876649792,0.876597719045492,-0.000511746410675714,,1,1,,-0.000511746410675714,not_significant,endothelial
