cell_type,pathway,pathway_clean,pval,padj,ES,NES,size,leadingEdge
fibroblast,HALLMARK_ALLOGRAFT_REJECTION,Allograft Rejection,0.00193510944695845,0.0580532834087534,0.422407793208167,1.60257524976407,100,"CCL19,CD74,HLA-DRA,CD2,HLA-DQA1,CD79A,CD3D,CD28,FYB1,CD4,LTB,CD3G,HLA-E,SRGN,ITGAL,LIF,IL6,STAT4,IL2RG,CXCR3,PF4,FAS,JAK2,CCR1,IRF4,PTPRC,ITGB2,IL16,CCL13,GZMA,IL2RB,CCL5,CCR2,IL2RA,CD8A"
fibroblast,HALLMARK_E2F_TARGETS,E2f Targets,0.00415283753492202,0.0622925630238303,-0.678605107676594,-1.81941793841697,18,"STMN1,HMGB2,TUBB,TOP2A,H2AZ1,BRCA1,PCNA,TP53,CDKN1A,EZH2,BIRC5,PTTG1,CHEK1,DNMT1,MKI67"
fibroblast,HALLMARK_G2M_CHECKPOINT,G2m Checkpoint,0.0075944170771757,0.0626528117359413,-0.610990889988058,-1.74160837910379,23,"UBE2C,CCND1,STMN1,CENPF,TOP2A,H2AZ1,TGFB1,EGF,EZH2,BIRC5,PTTG1,CHEK1,MKI67,ABL1,EFNA5,SMAD3,CDKN3"
fibroblast,HALLMARK_ANDROGEN_RESPONSE,Androgen Response,0.00835370823145884,0.0626528117359413,-0.683525626347912,-1.75947189734726,15,"KRT19,CCND1,KRT8,NDRG1,AKT1"
fibroblast,HALLMARK_ESTROGEN_RESPONSE_LATE,Estrogen Response Late,0.0194552529182879,0.116731517509728,-0.50291050141534,-1.58069745532857,35,"KRT19,AGR2,SFN,SERPINA1,CDH1,AREG,CCND1,TOP2A,CELSR2"
fibroblast,HALLMARK_ESTROGEN_RESPONSE_EARLY,Estrogen Response Early,0.0635826370491135,0.317913185245568,-0.473358450629158,-1.42819787101407,29,"KRT19,SFN,AREG,CCND1,KRT8,SLC2A1,CELSR2,AR,CELSR1,IGF1R,KRT18,DHRS2,KRT13,PTGES"
fibroblast,HALLMARK_ADIPOGENESIS,Adipogenesis,0.0803275492298694,0.344260925270869,0.532337639897949,1.41372489505577,17,"GPX3,SPARCL1,CD36,COL15A1,COL4A1,FZD4,FABP4,ANGPT1"
fibroblast,HALLMARK_HYPOXIA,Hypoxia,0.112573673870334,0.39892283406073,0.41229778283565,1.30652272859796,37,"FOS,CXCR4,DUSP1,ZFP36,BTG1,DCN,ATF3"
fibroblast,HALLMARK_MYOGENESIS,Myogenesis,0.121365853658537,0.39892283406073,0.421677602108038,1.30354569294301,33,"CLU,GADD45B,GPX3,CFD,PTGIS,IGFBP7,CD36,COL6A2,COL15A1,CRYAB,IGF1,COL3A1"
fibroblast,HALLMARK_UV_RESPONSE_UP,Uv Response Up,0.133722060252673,0.39892283406073,0.460938722536942,1.3000185093413,22,"FOS,GPX3,BTG1,SOD2,ATF3,JUNB,IL6ST,IL6"
fibroblast,HALLMARK_P53_PATHWAY,P53 Pathway,0.146271705822268,0.39892283406073,-0.3931512733728,-1.25737606529273,38,"SFN,KRT17,S100A10,ITGB4,NDRG1,TM4SF1,SERPINB5,APP,TGFB1,PCNA"
fibroblast,HALLMARK_PI3K_AKT_MTOR_SIGNALING,Pi3k Akt Mtor Signaling,0.22921760391198,0.491951124903026,-0.471786172542343,-1.21443071063844,15,"SFN,RAC1,AKT1,SLC2A1,ARF1,SMAD2,CDKN1A"
fibroblast,HALLMARK_KRAS_SIGNALING_DN,Kras Signaling Dn,0.229948717948718,0.491951124903026,-0.436514601184338,-1.20140833957828,20,"MX1,TGFB2,KRT5,CELSR2,EGF,PDCD1,KRT13"
