ligand,receptor,cell_type,ligand_pct_query,ligand_mean_query,receptor_gradient_coef,receptor_fdr,receptor_pct_target,n_samples_supporting,n_samples_total,reproducibility,median_per_sample_score,direct_score,nichenet_activity,nichenet_auroc,enrichment_pval,enrichment_fdr,enrichment_odds_ratio,n_downstream_overlap,enrichment_score,scaled_direct,scaled_activity,scaled_enrichment,scaled_expression,combined_score
COL1A1,DDR1,fibroblast,35.3646717144152,1.39511970593508,-0.00271332240158567,3.20510356459197e-21,0.0872663563958425,5,5,1,0.000672215816915112,0.000672215816915112,0.0252717140505926,0.653463040596222,0.0472532908571376,0.0685934867281029,1.477419492984,35,1.32556794056578,1,0.808124247603651,0.752487000094336,1,0.892934674299962
COL1A1,ITGB8,fibroblast,35.3646717144152,1.39511970593508,-0.00117413952288575,3.88772166036719e-06,0.0633296430452401,5,5,1,0.000430366006302801,0.000430366006302801,0.0252717140505926,0.653463040596222,0.0472532908571376,0.0685934867281029,1.477419492984,35,1.32556794056578,0.61729184622675,0.808124247603651,0.752487000094336,1,0.739851412790663
FN1,ITGB8,fibroblast,15.8941229785024,0.582794604804323,-0.00117413952288575,3.88772166036719e-06,0.0633296430452401,5,5,1,0.000389244503670584,0.000389244503670584,0.0291786306016069,0.665537998495109,0.0173148003037811,0.0389583006835075,1.62012173812372,37,1.76158251291995,0.552220328027445,0.94301966306105,1,0.354193866915355,0.739213416820828
COL1A2,DDR1,fibroblast,16.2434298227334,0.597016610887226,-0.00271332240158567,3.20510356459197e-21,0.0872663563958425,4,5,0.8,0.00027617853551613,0.000220942828412904,0.0304188106248748,0.667705757999211,0.0173148003037811,0.0389583006835075,1.62012173812372,37,1.76158251291995,0.285896268265982,0.98583977383031,1,0.365779801415327,0.646688419597019
COL4A2,DDR1,fibroblast,28.5756814956684,1.07049459828921,-0.00271332240158567,3.20510356459197e-21,0.0872663563958425,5,5,1,0.000258206889925153,0.000258206889925153,0.0260502521655097,0.649969543874735,0.0291827650454505,0.0547176844602197,1.5476074826871,36,1.53487356141138,0.34486369167367,0.835005093685172,0.871303813562055,0.774820341214548,0.640189801608885
MMP14,DDR1,fibroblast,16.0224667811176,0.543228397250786,-0.00271332240158567,3.20510356459197e-21,0.0872663563958425,5,5,1,0.000270732708451168,0.000270732708451168,0.0259573462115847,0.65435880898635,0.0173148003037811,0.0389583006835075,1.62012173812372,37,1.76158251291995,0.364684806564988,0.831797298717059,1,0.358450820121784,0.631258194253292
VTN,ITGB8,fibroblast,13.0751902829187,0.439283534864549,-0.00117413952288575,3.88772166036719e-06,0.0633296430452401,5,5,1,0.000308566809574286,0.000308566809574286,0.022288379937277,0.643072127270775,0.0173148003037811,0.0389583006835075,1.62012173812372,37,1.76158251291995,0.424554272469634,0.705117672108849,1,0.260694497778265,0.607426460398335
COL4A5,DDR1,fibroblast,10.0872274761588,0.346232078079334,-0.00271332240158567,3.20510356459197e-21,0.0872663563958425,5,5,1,0.000171670465121734,0.000171670465121734,0.0270591619910127,0.655003762227239,0.0173148003037811,0.0389583006835075,1.62012173812372,37,1.76158251291995,0.207926659195514,0.869840060926779,1,0.161588677382193,0.560281549694459
COL5A3,DDR1,fibroblast,9.47660206474746,0.323917549092335,-0.00271332240158567,3.20510356459197e-21,0.0872663563958425,5,5,1,0.000267726660976604,0.000267726660976604,0.0261530576208935,0.654036332365903,0.0472532908571376,0.0685934867281029,1.477419492984,35,1.32556794056578,0.359927974726947,0.838554692053654,0.752487000094336,0.141335235065006,0.560168521032243
COL3A1,DDR1,fibroblast,9.92481302491127,0.35239596527109,-0.00271332240158567,3.20510356459197e-21,0.0872663563958425,5,5,1,0.000216426728701406,0.000216426728701406,0.0284345456140194,0.660342541832383,0.0735225872574499,0.0894193628806823,1.40947117784152,34,1.13357921854437,0.278749898465371,0.91732839163879,0.643500494714483,0.156201656700861,0.531018741490768
