ligand,receptor,cell_type,ligand_pct_query,ligand_mean_query,receptor_gradient_coef,receptor_fdr,receptor_pct_target,n_samples_supporting,n_samples_total,reproducibility,median_per_sample_score,direct_score
MIF,CXCR4,fibroblast,80.5436749329338,3.78546363468452,0.00290565992163577,5.87201337745931e-25,0.0977998000795382,5,5,1,0.00227692088904208,0.00227692088904208
CD44,EPCAM,fibroblast,35.0180111341557,1.2732215758675,-0.00521084706077837,1.40690849810555e-41,0.060373829766652,5,5,1,0.00216404135168851,0.00216404135168851
MIF,CD74,fibroblast,80.5436749329338,3.78546363468452,0.00266471364029347,3.34354897556078e-50,0.361447596117674,5,5,1,0.00193648008604788,0.00193648008604788
APP,CD74,fibroblast,46.5454677767744,1.7802065060037,0.00266471364029347,3.34354897556078e-50,0.361447596117674,5,5,1,0.000886911303777898,0.000886911303777898
TIMP1,MMP2,fibroblast,26.1526960468124,0.955077632106194,0.00227546522955516,8.33263214404787e-51,0.440899857046121,5,5,1,0.000717932008896835,0.000717932008896835
COL1A1,DDR1,fibroblast,35.3646717144152,1.39511970593508,-0.00271332240158567,3.20510356459197e-21,0.0872663563958425,5,5,1,0.000672215816915112,0.000672215816915112
CD59,CD2,fibroblast,23.3006850515856,0.807485940844352,0.00188161942709366,3.01998252001135e-14,0.0707460472715156,5,5,1,0.000548894997864868,0.000548894997864868
CXCL14,CXCR4,fibroblast,17.4160555450808,0.634706851609418,0.00290565992163577,5.87201337745931e-25,0.0977998000795382,5,5,1,0.000508688826303224,0.000508688826303224
COL1A1,ITGB8,fibroblast,35.3646717144152,1.39511970593508,-0.00117413952288575,3.88772166036719e-06,0.0633296430452401,5,5,1,0.000430366006302801,0.000430366006302801
MMP14,MMP2,fibroblast,16.0224667811176,0.543228397250786,0.00227546522955516,8.33263214404787e-51,0.440899857046121,5,5,1,0.000417773151793201,0.000417773151793201
S100A9,CD68,fibroblast,43.5164878784571,1.69265923884714,0.00106015005916724,4.28052009055172e-12,0.182626266969055,5,5,1,0.00041557086638014,0.00041557086638014
FN1,ITGB8,fibroblast,15.8941229785024,0.582794604804323,-0.00117413952288575,3.88772166036719e-06,0.0633296430452401,5,5,1,0.000389244503670584,0.000389244503670584
HLA.DRB1,CD37,fibroblast,20.9842117275804,0.786248067560948,0.0017809212582645,1.28459244426994e-15,0.0790115760396401,5,5,1,0.000375786196643076,0.000375786196643076
VTN,ITGB8,fibroblast,13.0751902829187,0.439283534864549,-0.00117413952288575,3.88772166036719e-06,0.0633296430452401,5,5,1,0.000308566809574286,0.000308566809574286
CD58,CD2,fibroblast,15.65430530609,0.526046814787041,0.00188161942709366,3.01998252001135e-14,0.0707460472715156,5,5,1,0.000292370350968633,0.000292370350968633
HLA.DRB1,CD53,fibroblast,20.9842117275804,0.786248067560948,0.00116513088239514,6.76884989218377e-16,0.101164053011168,5,5,1,0.000278867039538341,0.000278867039538341
MMP14,DDR1,fibroblast,16.0224667811176,0.543228397250786,-0.00271332240158567,3.20510356459197e-21,0.0872663563958425,5,5,1,0.000270732708451168,0.000270732708451168
COL5A3,DDR1,fibroblast,9.47660206474746,0.323917549092335,-0.00271332240158567,3.20510356459197e-21,0.0872663563958425,5,5,1,0.000267726660976604,0.000267726660976604
MMP2,DDR1,fibroblast,12.7569770403522,0.448958115942366,-0.00271332240158567,3.20510356459197e-21,0.0872663563958425,5,5,1,0.000263377111015317,0.000263377111015317
COL4A2,DDR1,fibroblast,28.5756814956684,1.07049459828921,-0.00271332240158567,3.20510356459197e-21,0.0872663563958425,5,5,1,0.000258206889925153,0.000258206889925153
LGALS3,ENG,fibroblast,37.224002937353,1.41722245174939,0.000565648054965083,0.000235699279151855,0.151885808871739,5,5,1,0.000247830059908241,0.000247830059908241
S100A9,ITGB2,fibroblast,43.5164878784571,1.69265923884714,0.000729463511259132,0.00377684919902262,0.0923396068230919,5,5,1,0.000243443473020685,0.000243443473020685
CXCL12,CXCR4,fibroblast,10.4646508750864,0.363742920168496,0.00290565992163577,5.87201337745931e-25,0.0977998000795382,4,5,0.8,0.000304004911012184,0.000243203928809747
HLA.DRA,CD37,fibroblast,14.4972263845749,0.51453822062176,0.0017809212582645,1.28459244426994e-15,0.0790115760396401,4,5,0.8,0.000281700493882302,0.000225360395105841
COL1A2,DDR1,fibroblast,16.2434298227334,0.597016610887226,-0.00271332240158567,3.20510356459197e-21,0.0872663563958425,4,5,0.8,0.00027617853551613,0.000220942828412904
IL10,IL10RA,fibroblast,11.0034963762723,0.371503183796703,0.00159786900619263,1.63934562904865e-07,0.0551286047486484,5,5,1,0.00021982430751171,0.00021982430751171
COL3A1,DDR1,fibroblast,9.92481302491127,0.35239596527109,-0.00271332240158567,3.20510356459197e-21,0.0872663563958425,5,5,1,0.000216426728701406,0.000216426728701406
