ligand,auroc,aupr,activity,pearson,cell_type
EPCAM,0.678580386255329,0.116790532931054,0.0504048638056586,0.109380506391574,fibroblast
RSPO1,0.649790390196712,0.113426422420446,0.0470407532950508,0.149430860846525,fibroblast
CLU,0.662259486187252,0.113068537878836,0.0466828687534408,0.130628369609196,fibroblast
COL6A1,0.656311584076821,0.110542941364275,0.04415727223888,0.0893013284773434,fibroblast
FGF9,0.653104733240174,0.109227833138675,0.0428421640132796,0.113482327380346,fibroblast
ENTPD1,0.670912608835859,0.107303364506395,0.0409176953810001,0.104645923859386,fibroblast
ADGRE5,0.680479415242398,0.107159211158889,0.0407735420334939,0.113497418350178,fibroblast
PSAP,0.681500591207138,0.102603136429776,0.0362174673043807,0.0676373252250459,fibroblast
BMP4,0.651707334551578,0.102172092466284,0.0357864233408889,0.0642015109978695,fibroblast
KLK3,0.671199254720699,0.101910534973317,0.0355248658479219,0.105272625275607,fibroblast
LGALS3,0.674352359453939,0.101112534426198,0.0347268653008033,0.0673410582610482,fibroblast
SPINK1,0.6790820165538,0.100486052316148,0.0341003831907528,0.0860554676055667,fibroblast
LYZ,0.671647138915763,0.100165310538719,0.0337796414133238,0.105954139169169,fibroblast
SERPINA1,0.682091798344623,0.09970017240735,0.0333145032819549,0.0311963106644482,fibroblast
BMP7,0.633236590347199,0.0993967661123074,0.0330110969869123,0.0186044590738796,fibroblast
ARF1,0.675516858361102,0.0992454684237565,0.0328597992983614,0.103146264468889,fibroblast
CAMP,0.671915869432801,0.0988043188115199,0.0324186496861248,0.0401095559445079,fibroblast
S100A10,0.668780680067363,0.0986879019382862,0.0323022328128911,0.0982920696512055,fibroblast
ANXA2,0.664409330323552,0.0980943489769034,0.0317086798515083,0.0784717603195877,fibroblast
NRXN3,0.671718800386972,0.0979466041270136,0.0315609350016185,0.101061501848856,fibroblast
INS,0.635529757425922,0.0978431645046993,0.0314574953793041,0.0709738421072618,fibroblast
IGFBP7,0.66109498728009,0.0977114290953732,0.031325759969978,0.110032304573671,fibroblast
TIGIT,0.66295818553155,0.0976002515875083,0.0312145824621131,0.0959181620187978,fibroblast
MXRA8,0.672757891719517,0.0973782851173018,0.0309926159919067,0.0958870032460453,fibroblast
COL11A1,0.654233401411731,0.0972145961489695,0.0308289270235744,0.0778759449225302,fibroblast
CDH1,0.667938657780644,0.0971201904178234,0.0307345212924282,0.071771701111567,fibroblast
WIF1,0.649593321150884,0.0970024893620844,0.0306168202366892,0.0582132168307431,fibroblast
COL1A2,0.667705757999211,0.09680447975027,0.0304188106248748,0.100784964138956,fibroblast
WNT2B,0.658909312408185,0.0967921131071689,0.0304064439817738,0.0674208928729613,fibroblast
GSTP1,0.669389802572649,0.0965831224693366,0.0301974533439415,0.0860277923745812,fibroblast
GDF9,0.668673187860548,0.0964521685875628,0.0300664994621676,0.0756969005924477,fibroblast
ADGRF5,0.655863699881761,0.0963813641223956,0.0299956949970004,0.087793238721424,fibroblast
