gene,sample_id,coef,se,n_cells,pval,dispersion
AATK,Lung5,-0.00190468475454058,0.000464758702564399,37735,4.16334272945937e-05,0.216842773405202
AATK,Lung6,-0.00149718368645693,0.00284806540568169,3252,0.599107472134929,0.114838145032504
AATK,Lung9,0.000957268734051136,0.000841785620403386,21893,0.255459589179795,0.164200970657361
AATK,Lung12,2.59853067756671e-05,0.000605323952226732,16548,0.96575898101883,0.325614722590262
AATK,Lung13,-0.00029396332323949,0.00109573656066188,13609,0.788484418832504,0.154015737547707
ABL1,Lung5,0.000938712967416126,0.000257601900429561,37735,0.000268386261051821,0.519770935204044
ABL1,Lung6,0.00178909527046788,0.00123236158983335,3252,0.146567896203197,0.3590925306383
ABL1,Lung9,-0.00128019209819093,0.000440746858984867,21893,0.00367725988707187,0.384444366408298
ABL1,Lung12,-0.000905540056791005,0.00043388150746189,16548,0.0368820200992678,0.507112782315695
ABL1,Lung13,-0.000392924858268384,0.000538731501060036,13609,0.465786416226595,0.406045699478985
ABL2,Lung5,0.00219513458107705,0.000254050211709372,37735,5.59410763176454e-18,0.559704622164209
ABL2,Lung6,-7.23422553392678e-05,0.00134258047970282,3252,0.957028386154644,0.345334655281701
ABL2,Lung9,-0.000935038432935692,0.000510547244242716,21893,0.0670343732598792,0.322327529116838
ABL2,Lung12,0.000754241288568628,0.000438225524736939,16548,0.0852279853730626,0.488488041100414
ABL2,Lung13,-0.000144885111556193,0.000506632926682508,13609,0.774896119919495,0.431335753341049
ACE,Lung5,-0.00152489291620419,0.000399143380555985,37735,0.000133227912745855,0.267538718902228
ACE,Lung6,0.00255778939565455,0.00180956024049377,3252,0.157512659032834,0.214324979784217
ACE,Lung9,-0.000681629593291635,0.000730077462420488,21893,0.350489574246505,0.194265966870313
ACE,Lung12,-0.000606748249152587,0.000534281552264593,16548,0.256109810093127,0.382714968477602
ACE,Lung13,0.00176728034686689,0.000777812941839648,13609,0.023079573546088,0.248609068494348
